;Unnamed: 0;Ömerli;Darlik;Elmali;Terkos;Alibey;Büyükçekmece;Sazlidere;Kazandere;Pabuçdere;Istrancalar;ort;yagis;tuketim;temiz
1.01.11;1.01.11 00:00;80,07;84,86;96,25;91,87;42,48;85,99;79,1;93,9;94,19;99,99;84,87;0;;65.178
2.01.11;2.01.11 00:00;80,07;85,02;96,67;91,68;42,71;86,17;79,21;92,8;93,11;99,99;84,74;0;;65.178
3.01.11;3.01.11 00:00;80,07;85,07;96,88;91,68;42,79;86,55;79,31;91,39;91,71;99,99;84,54;0,78;;65.178
4.01.11;4.01.11 00:00;80,07;85,18;95;92,44;43,34;86,74;79,96;90,65;90,99;99,99;84,44;11,66;;65.178
5.01.11;5.01.11 00:00;80,61;85,98;95,21;92,63;45,81;87,3;80,37;90,93;91,26;99,99;85,01;3,81;;65.178
6.01.11;6.01.11 00:00;80,92;86,4;96,98;93,02;46,7;87,49;80,62;91,48;91,8;99,99;85,54;0,45;;65.178
7.01.11;7.01.11 00:00;80,99;86,67;96,15;93,21;47,26;87,68;80,88;91,58;91,9;99,99;85,63;2,19;;65.178
8.01.11;8.01.11 00:00;80,84;86,77;97,4;93,4;47,75;87,87;81,06;91,58;91,9;99,99;85,86;0;;65.178
9.01.11;9.01.11 00:00;80,92;86,93;97,6;93,21;48,16;88,05;81,06;91,48;91,8;99,99;85,92;0;;65.178
10.01.11;10.01.11 00:00;80,76;86,88;97,5;93,21;48,33;88,05;81,24;91,48;91,8;99,99;85,92;0;;65.178
11.01.11;11.01.11 00:00;80,61;86,88;97,29;93,02;48,49;88,24;81,33;91,21;91,53;99,99;85,86;0;;65.178
12.01.11;12.01.11 00:00;80,45;86,77;97,5;92,83;48,57;88,24;81,33;91,11;91,44;99,99;85,82;0;;65.178
13.01.11;13.01.11 00:00;80,38;86,67;97,5;92,83;48,82;88,24;81,6;90,93;91,26;99,99;85,82;0;;65.178
14.01.11;14.01.11 00:00;80,22;86,56;97,71;92,63;48,82;88,24;81,69;90,93;91,26;99,99;85,8;0;;65.178
15.01.11;15.01.11 00:00;79,99;86,46;98,02;92,63;48,82;88,24;81,6;90,93;91,26;99,99;85,79;0;;65.178
16.01.11;16.01.11 00:00;79,84;86,3;97,4;92,63;48,74;88,24;81,6;90,93;91,26;99,99;85,69;1,59;;65.178
